Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot,NoStopwords
1915,The Soul of Broadway,American,Herbert Brenon,Valeska Suratt,drama,https://en.wikipedia.org/wiki/The_Soul_of_Broadway,"As described in a film magazine,[3] La Valencia (Suratt), a stage beauty, has ensnared a young man who steals in order to shower her with the luxuries that she demands. He is caught and, after serving a 5-year term, emerges from prison a gray haired man. La Valencia comes across him again, and her passion revives. She seeks to ensnare him again, but now he is married and his old life has no charms for him. Desperate, she then threatens to reveal his past to his wife, which leads to a terrific climax.","describe film magazine,[3 La Valencia Suratt stage beauty ensnare young man steal order shower luxury demand catch serve 5-year term emerge prison gray haired man La Valencia come passion revive seek ensnare married old life charm desperate threaten reveal past wife lead terrific climax"
1915,The Toast of Death,American,Thomas H. Ince,Louise Glaum,drama,https://en.wikipedia.org/wiki/The_Toast_of_Death,"Mademoiselle Poppea (played by Glaum) is the leading ballerina of the Imperial Ballet in Calcutta, India. Her beauty and charm bring to her many admirers, among them a British soldier, Captain Drake (played by Keenan), and an Indian prince, Yar Khan (played by Mayall), of the Bengalese Dragoons.
Although she loves Drake, Poppea agrees to marry the prince because of his title, wealth and high social standing. She keeps Drake as her lover, however, and he visits her regularly at the palace.
When the prince is ordered to transfer, he and Poppea go to live in the South. She finds the climate and culture repulsive and is bored and disgusted with her devoted husband. She then writes to Drake and begs him to come see her. Feigning illness, he takes leave from his military duties and travels to Poppea.
The prince is pleased to see Drake and receives him warmly. By accident, he discovers the adulterous relationship between Drake and his wife. As revenge, he pours two glasses of wine and puts arsenic into one. He then tells Poppea to select which glass each man will drink. Unknowingly, she selects the poisoned glass for Drake. After the toast, the prince watches as Drake has a horrible death. He disposes of Drake's body and forces his devastated wife, Poppea, to flee out into the desert.","Mademoiselle Poppea play Glaum lead ballerina Imperial Ballet Calcutta India beauty charm bring admirer british soldier Captain Drake play Keenan indian prince Yar Khan play Mayall Bengalese Dragoons 
 love Drake Poppea agree marry prince title wealth high social standing keep Drake lover visit regularly palace 
 prince order transfer Poppea live South find climate culture repulsive bored disgust devoted husband write Drake beg come feign illness take leave military duty travel Poppea 
 prince pleased Drake receive warmly accident discover adulterous relationship Drake wife revenge pour glass wine put arsenic tell Poppea select glass man drink unknowingly select poison glass Drake toast prince watch Drake horrible death dispose Drake body force devastated wife Poppea flee desert"
1915,The Tramp,American,Charles Chaplin,Charles Chaplin,comedy short,https://en.wikipedia.org/wiki/The_Tramp_(film),"The Tramp (Charlie Chaplin) finds the girl of his dreams and works on a family farm. He helps defend the farm against criminals, and all seems well, until he discovers the girl of his dreams already has a boyfriend. Unwilling to be a problem in their lives, he takes to the road, though he is seen skipping and swinging his cane as if happy to be back on the road where he knows he belongs.",Tramp Charlie Chaplin find girl dream work family farm help defend farm criminal discover girl dream boyfriend unwilling problem life take road see skip swinge cane happy road know belong
1915,The Warrens of Virginia,American,Cecil B. DeMille,"Blanche Sweet, James Neill",drama,https://en.wikipedia.org/wiki/The_Warrens_of_Virginia_(1915_film),"As the American Civil War begins, Ned Burton leaves his Southern love, Agatha Warren, and joins the Union army. He is later protected and saved from death by Agatha in spite of her loyalty to the South.",American Civil War begin Ned Burton leave southern love Agatha Warren join Union army later protect save death Agatha spite loyalty South
1915,Work,American,Charlie Chaplin,"Charles Chaplin, Edna Purviance",comedy,https://en.wikipedia.org/wiki/Work_(1915_film),"Charlie is an assistant to Izzy A. Wake, a painter and paper hanger. The two men are on their way to a job via a cart. The boss rides in the cart, leisurely sitting atop all their paraphernalia, while Charlie is hitched to the cart like a mule. The boss also treats Charlie like a mule, beating him with a stick to get him to move faster. When the boss opts to take a shortcut up a steep hill, the out-of-control cart descends and is nearly hit by an oncoming streetcar. A second attempt to scale the enormous hill is successful. At the house they are to paper, Charlie becomes distracted by the pretty maid. The boss has a misadventure and falls, his head ending up in a bucket of paste. Meanwhile, the short-tempered homeowner is contending with the threat of an exploding stove and an amorous French visitor who is making passes at his wife. Shots are fired—and the target turns out to be Charlie who has been enjoying the maid's company. An enraged Charlie gives the Frenchman, his boss, and the homeowner each a face full of paste. As the fight moves into the kitchen, the troublesome stove finally explodes. When the dust dies down, Charlie is nowhere to be seen. Slowly the oven door opens. Charlie looks out and retreats back into the stove.",Charlie assistant Izzy A. Wake painter paper hanger man way job cart boss ride cart leisurely sit atop paraphernalia Charlie hitch cart like mule boss treat Charlie like mule beat stick faster boss opt shortcut steep hill control cart descend nearly hit oncoming streetcar second attempt scale enormous hill successful house paper Charlie distract pretty maid boss misadventure fall head end bucket paste short temper homeowner contend threat explode stove amorous french visitor make pass wife shot fire target turn Charlie enjoy maid company enrage Charlie give Frenchman boss homeowner face paste fight move kitchen troublesome stove finally explode dust die Charlie see slowly oven door open Charlie look retreat stove
1916,"20,000 Leagues Under the Sea",American,Stuart Paton,"Lois Alexander, Curtis Benton, Wallace Clarke, Allen Holubar",action adventure,"https://en.wikipedia.org/wiki/20,000_Leagues_Under_the_Sea_(1916_film)","A strange giant ""sea creature"" has been rampaging the seas. The American naval ship Abraham Lincoln is sent to investigate, but is rammed by ""the creature"" which turns out to be The Nautilus, the fantastic submarine of the enigmatic Captain Nemo, and ""Rudderless, the 'Abraham Lincoln' drifts on"". Then, in ""A strange rescue"" he guides the sub to surface under those pitched overboard and his crew take them, including Professor Aronnax, and his daughter (who are French) below through a hatch in the surface of the deck. After they pledge not to escape, Nemo shows them the wonders of the underwater world, and even takes them hunting on the sea floor.
Meanwhile, soldiers in a runaway Union Army Balloon are marooned on a mysterious island not far from the submarine. They find a wild girl living alone on the island (""a child of nature"").
The yacht of Charles Denver arrives at the island. A former Indian colonial officer, he has been haunted by the ghost of a woman (Princess Daaker) that he attacked years ago; she stabbed herself rather than submit to him. He fled with her young daughter and then abandoned the child on the island. The long-tormented Denver has returned to see what became of her.
One of the Union soldiers schemes and kidnaps the wild girl onto Denver's yacht. Another soldier swims aboard to rescue her. At the same time, Nemo discovers that the yacht belongs to Denver, the enemy he has been seeking all these years. The Nautilus destroys the yacht with a torpedo, but the girl and her rescuer are saved from the water by Captain Nemo.
In elaborate flashback scenes to India, Nemo reveals that he is Prince Daaker, and that he created the Nautilus to seek revenge on Charles Denver. He is overjoyed to discover that the abandoned wild girl is his long-lost daughter, but his emotion is such that he expires. His loyal crew bury him at the ocean bottom. They disband and the Nautilus is left to drift to its own watery grave.[6]","strange giant sea creature rampage sea american naval ship Abraham Lincoln send investigate ram creature turn Nautilus fantastic submarine enigmatic Captain Nemo Rudderless Abraham Lincoln drift strange rescue guide sub surface pitch overboard crew include Professor Aronnax daughter french hatch surface deck pledge escape Nemo show wonder underwater world take hunt sea floor 
 soldier runaway Union Army Balloon maroon mysterious island far submarine find wild girl live island child nature 
 yacht Charles Denver arrive island indian colonial officer haunt ghost woman Princess Daaker attack year ago stab submit flee young daughter abandon child island long torment Denver return 
 Union soldier scheme kidnap wild girl Denver yacht soldier swim aboard rescue time Nemo discover yacht belong Denver enemy seek year Nautilus destroy yacht torpedo girl rescuer save water Captain Nemo 
 elaborate flashback scene India Nemo reveal Prince Daaker create Nautilus seek revenge Charles Denver overjoyed discover abandon wild girl long lose daughter emotion expire loyal crew bury ocean disband Nautilus leave drift watery grave.[6"
1916,The Abandonment,American,Donald MacDonald,"Forrest Taylor, Harry von Meter, Helene Rosson",drama,https://en.wikipedia.org/wiki/The_Abandonment,"Dr. Edmund B. Stewart is a talented young physician who is working hard to build both his professional reputation and practice. He is engaged to Emily Thurston whose father is said to be wealthy. The Thurstons move in the best social circles and Emily is congratulated because her fiance is a successful man. Emily loves Edmund, but is unhappy at the amount of time he spends working at his practice. Stewart's work schedule has caused her to miss many social engagements.[8]
Emily grows resentful that his dedication to duty has curtailed so much of her social life; she starts spending time with Benson Heath. Heath, who has no real job, is attracted to Emily because he believes her family is quite wealthy. He has recently lost a considerable amount of money through bad investments. Heath convinces Emily to break her engagement to Edmund Stewart and asks her to marry him. Stewart, who had been driving himself to work harder, is at the point of exhaustion. Emily and Heath's marriage is the final blow to his constitution; he becomes ill. His doctors advise him to go to the country for recuperation. On the journey, Stewart sees two tramps who appear to be quite happy; he decides to see if this type of life might make him happy also. He takes off his tie, tears off his shirt collar and falls in with the tramps. The tramps later steal Stewart's money and then he has no recourse but to remain a tramp.[8]
Six months after her marriage, Emily's father dies and it is learned he was not a wealthy man as was assumed. Heath becomes quite angry when he learns that his father in law left no large inheritance. He passes a check on his already overdrawn bank account, uses the money for gambling, and then takes Emily away to avoid being arrested. The couple moves West to a house in a desolate location. The area is deserted enough that two tramps show up and set up camp not for from the home.[8]
The tramps find their way into the house, planning to loot it. Their plans are foiled by Heath's returning home, so they hide in a closet. He is drunk and when Emily tries to take the bottle away from him, he erupts into a rage. Hearing the noise, the tramps wonder what is happening, so they carefully open the closet door a bit to see. Heath is choking Emily and the tramps are horrified at the sight. One of them bolts out of the closet and wrestles with Heath to free Emily from his grasp. As the two men struggle, Heath's gun discharges and he is fatally shot.[8]
The tramps flee, but are apprehended by the sheriff. Stewart, who has been living in the tramp camp, comes up to try helping his friends. When he enters the house he sees Heath lying dead on the floor and Emily also lying there, but in a dead faint. Stewart thinks Emily has shot her husband so he tells the sheriff he is responsible for Heath's death. When Emily regains consciousness, she tells the sheriff that Stewart was not the man who struggled with her husband. As Stewart is being released by the sheriff, Emily recognizes him and tells him she always loved him; no charges were filed in the death of Heath as the sheriff's opinion is that Heath got what he deserved.[8]","Dr. Edmund B. Stewart talented young physician work hard build professional reputation practice engage Emily Thurston father say wealthy Thurstons good social circle Emily congratulate fiance successful man emily love Edmund unhappy time spend work practice Stewart work schedule cause miss social engagements.[8 
 Emily grow resentful dedication duty curtail social life start spend time Benson Heath Heath real job attract Emily believe family wealthy recently lose considerable money bad investment Heath convince Emily break engagement Edmund Stewart ask marry Stewart drive work harder point exhaustion Emily Heath marriage final blow constitution ill doctor advise country recuperation journey Stewart see tramp appear happy decide type life happy take tie tear shirt collar fall tramp tramp later steal Stewart money recourse remain tramp.[8 
 month marriage Emily father die learn wealthy man assume Heath angry learn father law leave large inheritance pass check overdrawn bank account use money gambling take emily away avoid arrest couple move West house desolate location area desert tramp set camp home.[8 
 tramp find way house plan loot plan foil Heath return home hide closet drunk Emily try bottle away erupt rage hear noise tramp wonder happen carefully open closet door bit Heath choke Emily tramp horrify sight bolt closet wrestle Heath free Emily grasp man struggle Heath gun discharge fatally shot.[8 
 tramp flee apprehend sheriff Stewart live tramp camp come try help friend enter house see Heath lie dead floor Emily lie dead faint Stewart think Emily shoot husband tell sheriff responsible Heath death Emily regain consciousness tell sheriff Stewart man struggle husband Stewart release sheriff Emily recognize tell love charge file death Heath sheriff opinion Heath get deserved.[8"
1916,The Aryan,American,William S. Hart,"William S. Hart, Louise Glaum, Bessie Love",western drama,https://en.wikipedia.org/wiki/The_Aryan,"A hard working miner, Steve Denton (played by Hart), has become rich from years of prospecting. He takes his fortune and leaves to visit his ill mother, Mrs. Denton (played by Claire).
In the town of Yellow Ridge, however, he is detained by a seductive dance hall girl named Trixie (played by Glaum). Also known as ""the firefly,"" Trixie not only cheats him out of his gold, but also conceals a message that was wired to him by his dying mother.
Learning the next day that his mother is dead, Denton is infuriated about being cheated and betrayed by Trixie, who pretended to be good, and other false friends. In his rage, he kills Trixie's lover, Chip Emmett (played by Mayall), and kidnaps her. Dragging her by the hair of her head, he takes her into the desert. Enslaving Trixie in his desert hideaway, Denton turns his back on ""white civilization."" He hates all white men and women and assumes the leadership of a band of Indian and Mexican bandits.
Two years later, a wagon-train of Mississippi farmers who are lost and dying in the desert appeal to Denton for help. He refuses to assist them. He is secretly visited that night by Mary Jane Garth (played by Love), an innocent and virtuous young woman among the migrants who bravely confronts the Indians and Mexicans.
She pleads their cause and expresses her belief that no white man would refuse to protect a woman in distress. Deeply moved, Denton is redeemed. He guides the wagon-train out of the desert and then resumes his wanderings.","hard working miner Steve Denton play Hart rich year prospecting take fortune leave visit ill mother Mrs. Denton play Claire 
 town Yellow Ridge detain seductive dance hall girl name Trixie play Glaum know firefly Trixie cheat gold conceal message wire die mother 
 learn day mother dead Denton infuriate cheat betray Trixie pretend good false friend rage kill Trixie lover Chip Emmett play Mayall kidnap drag hair head take desert enslave Trixie desert hideaway Denton turn white civilization hate white man woman assume leadership band indian mexican bandit 
 year later wagon train Mississippi farmer lose die desert appeal Denton help refuse assist secretly visit night Mary Jane Garth play Love innocent virtuous young woman migrant bravely confront Indians Mexicans 
 plead cause express belief white man refuse protect woman distress deeply move Denton redeem guide wagon train desert resume wandering"
1916,The Bondman,American,Edgar Lewis,"William Farnum, Dorothy Bernard, L.O. Hart,",drama,https://en.wikipedia.org/wiki/The_Bondman_(1916_film),"The narrative hinges on Jason's vow to wreak vengeance on his father for abandoning his mother. But his father dies, and Jason turns his desire for revenge against Sunlocks, his father's son of another wife. Both Sunlocks and Jason are in love with Greeba, daughter of the governor of the Isle of Man. Sunlocks and Jason go to Iceland, and are confined in prison. Jason not knowing Sunlocks, saves his half-brother from death in the mines. Jason not knowing Sunlocks, saves his half-brother from death in the mines. Jason is freed, but Sunlocks is condemned to death. Greeba pleads for Sunlocks' life, and Jason sacrifices himself by taking Sunlocks' place and dying for him.[1]",narrative hinge Jason vow wreak vengeance father abandon mother father die Jason turn desire revenge Sunlocks father son wife Sunlocks Jason love Greeba daughter governor Isle Man Sunlocks Jason Iceland confine prison Jason know Sunlocks save half brother death mine Jason know Sunlocks save half brother death mine Jason free Sunlocks condemn death greeba plead sunlock life Jason sacrifice take Sunlocks place die him.[1
1916,Civilization,American,Reginald Barker,"Howard C. Hickman, Enid Markey, George Fisher",drama,https://en.wikipedia.org/wiki/Civilization_(film),"The film opens with the outbreak of a war in the previously peaceful kingdom of Wredpryd. Count Ferdinand is the inventor of a new submarine who is assigned to command the new ship in battle. The King of Wredpryd orders the Count to sink the ""ProPatria"" (""for my country""), a civilian ship that is believed to be carrying munitions as well as civilian passengers. In his mind's eye, the Count sees a vision of what would happen if he sent a torpedo crashing into the liner, and he recoils. He refuses to follow his orders, saying he is ""obeying orders -- from a Higher Power."" Realizing his crew will carry out the orders, the Count fights with the crew and blows up his submarine, sending it to the bottom of the sea.
The Count's soul descends into purgatory, where he encounters Jesus. Jesus announces that the Count can find redemption by returning to the living world as a voice for peace. Jesus tells the Count, ""Peace to thee, child, for in thy love for humanity is thy redemption. In thy earthly body will I return, and with thy voice plead for peace. Much evil is being wrought in my name.""
The Count returns to life and is stoned and reviled by his countrymen. He is put on trial by the king, a modern Pontius Pilate, and is sentenced to death. Five thousand women gather at the palace singing a song of peace and pleading with the king to end the war. The mothers' plea inspires the king to visit the cell of the condemned Count. The Count is found dead in his cell, and Jesus emerges from the Count's body and takes the king on a tour of the battlefields. Jesus asks, ""See here thy handiwork? Under thy reign, thy domain hath become a raging hell!"" In the film's most famous scene, Jesus walks through the battlefields amid the carnage of war.
The signing of a peace treaty follows, and the closing scenes depicts the happiness in store for the returning soldiers.","film open outbreak war previously peaceful kingdom Wredpryd Count Ferdinand inventor new submarine assign command new ship battle King Wredpryd order Count sink ProPatria country civilian ship believe carry munition civilian passenger mind eye Count see vision happen send torpedo crash liner recoil refuse follow order say obey order Higher Power realize crew carry order Count fight crew blow submarine send sea 
 Count soul descend purgatory encounter Jesus Jesus announce Count find redemption return live world voice peace Jesus tell Count peace thee child thy love humanity thy redemption thy earthly body return thy voice plead peace evil work 
 Count return life stone revile countryman trial king modern Pontius Pilate sentence death thousand woman gather palace singe song peace plead king end war mother plea inspire king visit cell condemn Count Count find dead cell Jesus emerge Count body take king tour battlefield Jesus ask thy handiwork thy reign thy domain hath rage hell film famous scene Jesus walk battlefield amid carnage war 
 signing peace treaty follow closing scene depict happiness store return soldier"
1916,A Daughter of the Gods,American,Herbert Brenon,"Annette Kellerman, Hal De Forrest",drama,https://en.wikipedia.org/wiki/A_Daughter_of_the_Gods,A sultan agrees to help an evil witch destroy a mysterious beauty if the witch will bring his young son back to life.,sultan agree help evil witch destroy mysterious beauty witch bring young son life
1916,Divorce and the Daughter,American,Frederick Sullivan,"Florence La Badie, Edwin Stanley, Ethelmary Oakland",drama,https://en.wikipedia.org/wiki/Divorce_and_the_Daughter,"Alicia is a poor girl living in the city with her family. When her father receives an inheritance, he is able to follow his dream of becoming an artist and moves his family near an artist's colony in the country. There he falls prey to a scheming widow, and he and his wife separate. Alicia, meanwhile, has become involved with a young man who is the widow's accomplice, and she throws over her former suitor, Dr. John Osborne. The young man is a proponent of free love, but he gets a little too free with Alicia and she beans him with a small statuette. She goes running back to her doctor sweetheart, and her parents decide to reconcile, since their separation obviously isn't doing their children any good.",Alicia poor girl live city family father receive inheritance able follow dream artist move family near artist colony country fall prey scheming widow wife separate Alicia involved young man widow accomplice throw suitor Dr. John Osborne young man proponent free love get little free Alicia bean small statuette go run doctor sweetheart parent decide reconcile separation obviously child good
1916,Fatty and Mabel Adrift,American,"Roscoe ""Fatty"" Arbuckle","Roscoe ""Fatty"" Arbuckle, Mabel Normand",short comedy,https://en.wikipedia.org/wiki/Fatty_and_Mabel_Adrift,"The story involves Arbuckle as a farm boy marrying his sweetheart, Normand. They have their honeymoon with Fatty's dog Luke, at a cottage on the seashore. At high tide that night, Al St. John (Fatty's rival) and his confederates set the cottage adrift. Fatty and Mabel awaken the next morning to find themselves surrounded by water in their bedroom, and the house afloat.",story involve Arbuckle farm boy marry sweetheart Normand honeymoon Fatty dog Luke cottage seashore high tide night Al St. John Fatty rival confederate set cottage adrift Fatty Mabel awaken morning find surround water bedroom house afloat
1916,The Fireman,American,Charlie Chaplin,"Charlie Chaplin, Edna Purviance, Lloyd Bacon",short comedy,https://en.wikipedia.org/wiki/The_Fireman_(1916_film),"A beautiful girl's father (Bacon) arranges with the local fire chief (Campbell) to have his house burn down so he can collect the insurance money. In exchange for the chief's complicity in the arson, the father will permit the fire chief to marry his daughter.
However, a real fire breaks out elsewhere in the town. The firemen ignore an inhabitant of the burning building as he tries to alert them to the fire, first by activating the fire alarm, then by phoning the fire station, and then by going to the fire station in person. Eventually, a fireman (Chaplin), alerts the fire chief and the company extinguishes the fire.
Meanwhile, the father deliberately sets a fire in the basement of his own house without realizing his daughter is still inside the house on the upper floor. Upon knowing his daughter is in mortal danger from the fire, he rushes to find the fire chief to cancel the arrangement not to extinguish his house fire. The fireman (Chaplin), who is also in love with the daughter, abandons the first house fire to rush to the second one. He heroically scales the outside of the building to save her.","beautiful girl father Bacon arrange local fire chief Campbell house burn collect insurance money exchange chief complicity arson father permit fire chief marry daughter 
 real fire break town fireman ignore inhabitant burning building try alert fire activate fire alarm phone fire station go fire station person eventually fireman Chaplin alert fire chief company extinguish fire 
 father deliberately set fire basement house realize daughter inside house upper floor know daughter mortal danger fire rush find fire chief cancel arrangement extinguish house fire fireman Chaplin love daughter abandon house fire rush second heroically scale outside building save"
1916,Hell's Hinges,American,"William S. Hart, Charles Swickard, Clifford Smith","William S. Hart, Clara Williams",unknown,https://en.wikipedia.org/wiki/Hell%27s_Hinges,"Hell's Hinges tells the story of a weak-willed minister, Rev. Bob Henley (played by Standing), who comes to a wild and debauched frontier town with his sister, Faith (played by Williams). The owner of the saloon, Silk Miller (played by Hollingsworth), and his accomplices sense trouble and encourage the local rowdies to disrupt the attempts to evangelize the community. Hard-bitten gunman Blaze Tracy (played by Hart), the most dangerous man around, is, however, won over by the sincerity of Faith. He intervenes to expel the rowdies from the newly built church.
Silk adopts a new approach. He encourages the dance-hall girl, Dolly (played by Glaum), to seduce Rev. Henley. She gets him drunk, and he spends the night in her room. The following morning the whole town learns of his fall from grace. Blaze rides out to find a doctor for the now near-demented minister.
The disgraced minister, having rapidly descended into alcoholism, is goaded into helping the rowdy element to burn down the church. The church-goers try to defend the church, and a gunfight erupts in which the minister is killed and the church set ablaze. Blaze returns too late to stop the destruction. In revenge, Blaze kills Silk and burns down the whole town, beginning with the saloon. He and Faith leave to start a new life.","Hell Hinges tell story weak willed minister Rev. Bob Henley play Standing come wild debauch frontier town sister Faith play Williams owner saloon Silk Miller play Hollingsworth accomplice sense trouble encourage local rowdy disrupt attempt evangelize community hard bite gunman Blaze Tracy play Hart dangerous man win sincerity Faith intervene expel rowdy newly build church 
 silk adopt new approach encourage dance hall girl Dolly play Glaum seduce Rev. Henley get drunk spend night room follow morning town learn fall grace Blaze ride find doctor near demente minister 
 disgraced minister have rapidly descend alcoholism goad help rowdy element burn church church goer try defend church gunfight erupt minister kill church set ablaze Blaze return late stop destruction revenge Blaze kill Silk burn town begin saloon Faith leave start new life"
1916,Hoodoo Ann,American,Lloyd Ingraham,"Mae Marsh, Robert Harron",comedy–drama,https://en.wikipedia.org/wiki/Hoodoo_Ann,"Ann (Mae Marsh) is a young girl who has lived in an orphanage since infancy. She is disliked and spurned by the other children, and treated coldly by the orphanage administrators. She is told by the orphanage cook Black Cindy (Madame Sul-Te-Wan) during a palm-reading that she will be cursed until she is married. Ann's stay at the orphanage is an endless series of unhappy circumstances: she steals a doll belonging to a popular girl named Goldie (Mildred Harris), then accidentally breaks the doll, thereby adding to her loneliness and misery. One day, while the children are napping, a fire breaks out in the orphanage and Ann heroically saves Goldie from the flames.
Impressed with Ann's selflessness, a kindly couple, Samuel and Elinor Knapp (Wilbur Higby and Loyola O'Connor) take her in and later adopt Ann. Ann is immediately smitten with a neighbor boy named Jimmie Vance (Robert Harron) and the two youths begin courting. Believing that her curse is coming to an end, Ann attends a motion picture with Jimmie. Enthralled by the action-filled Western film, the following day Ann imitates the film's main character Pansy Thorne while playing with a gun. Unbeknownst to Ann, the gun is loaded and a round goes off, entering a neighbor's house. Ann tentatively peers through the window and is shocked to see her neighbor, Bill Higgins (Charles Lee) lying on the floor. Believing him dead, Ann is despondent, sure that the curse is still upon her and fearful that Jimmie will never marry her now that she has committed murder.
After tearfully confessing to her ""crime"" and a subsequent investigation into the peculiar disappearance of the body of Mr. Higgins, the town is shocked when Mr. Higgins returns home several days later and reveals that he had simply left town to avoid his wife's incessant nagging. Overjoyed, Jimmie and Ann marry and the ""hoodoo"" is lifted. But the wedding ceremony is not entirely a happy affair – Ann appears distracted and pensive throughout, leaving the viewer to wonder if she perhaps believes that the curse is still upon her.[1]","Ann Mae Marsh young girl live orphanage infancy dislike spurn child treat coldly orphanage administrator tell orphanage cook Black Cindy Madame Sul Te Wan palm reading curse married Ann stay orphanage endless series unhappy circumstance steal doll belong popular girl name Goldie Mildred Harris accidentally break doll add loneliness misery day child nap fire break orphanage Ann heroically save Goldie flame 
 impress Ann selflessness kindly couple Samuel Elinor Knapp Wilbur Higby Loyola O'Connor later adopt Ann Ann immediately smite neighbor boy name Jimmie Vance Robert Harron youth begin court believe curse come end Ann attend motion picture Jimmie enthral action fill western film follow day Ann imitate film main character Pansy Thorne play gun unbeknownst Ann gun load round go enter neighbor house Ann tentatively peer window shock neighbor Bill Higgins Charles Lee lie floor believe dead Ann despondent sure curse fearful Jimmie marry commit murder 
 tearfully confess crime subsequent investigation peculiar disappearance body Mr. Higgins town shock Mr. Higgins return home day later reveal simply leave town avoid wife incessant nagging overjoyed Jimmie Ann marry hoodoo lift wedding ceremony entirely happy affair Ann appear distracted pensive leave viewer wonder believe curse her.[1"
1916,Hulda from Holland,American,John B. O'Brien,"Mary Pickford, Frank Losee",drama,https://en.wikipedia.org/wiki/Hulda_from_Holland,"Upon the death of her parents, little Hulda find herself sole guardian of her three small brothers. Fortunately, she receives a letter from her wealthy Uncle Peter in Pennsylvania inviting the three orphans to come to America and live with him. Shortly afterwards, Uncle Peter drives to the Port of New York to pick them up, but is injured by an automobile accident and taken to a hospital where he lies unidentified. Uncle Peter's disappearance not only causes distress to the three newly arrived Dutch immigrants, but also to a railroad president (Mr. Walton) who is trying to buy the right-of-way through Uncle Peter's farmland and has only three deals left in which to close the deal. The search for the old man by both Hulda and Mr. Walton's son result in a blossoming romance between the two.",death parent little Hulda find sole guardian small brother fortunately receive letter wealthy Uncle Peter Pennsylvania invite orphan come America live shortly Uncle Peter drive Port New York pick injure automobile accident take hospital lie unidentified Uncle Peter disappearance cause distress newly arrive dutch immigrant railroad president Mr. Walton try buy right way Uncle Peter farmland deal leave close deal search old man Hulda Mr. Walton son result blossoming romance
1916,Joan the Woman,American,Cecil B. DeMille,Geraldine Farrar,historical,https://en.wikipedia.org/wiki/Joan_the_Woman,"A British officer (Bosworth) in World War I has a dream of the life of Joan of Arc (Farrar). The officer pulls a sword out of the wall of the trench he is in, the sword used to belong to Joan of Arc. Removing the sword conjures up the ghost of Joan, leading to her telling her story. The setting then changes to France where the story of Joan of Arc is told, of her leading the French troops to victory and her subsequent burning at the stake. The story ends back in the trench with the officer deciding to go on a suicide mission, using Joan's story and sword as inspiration [5]",british officer Bosworth World War dream life Joan Arc Farrar officer pull sword wall trench sword belong Joan Arc remove sword conjure ghost Joan lead tell story setting change France story Joan Arc tell lead french troop victory subsequent burning stake story end trench officer decide suicide mission Joan story sword inspiration 5
1916,Lights of New York,American,Van Dyke Brooke,"Leah Baird, Walter McGrail, Adele DeGarde",drama,https://en.wikipedia.org/wiki/Lights_of_New_York_(1916_film),"Hoping to improve his financial lot, petty thief Hawk Chovinski (McGrail) hires a dancing instructor to teach him how to bear himself like a gentleman. His lessons completed, Hawk then poses as a European nobleman, intending to trap a wealthy wife. Yolande Cowles (Baird) sees through Hawk's pose but falls in love with him anyway.",hope improve financial lot petty thief Hawk Chovinski McGrail hire dancing instructor teach bear like gentleman lesson complete Hawk pose european nobleman intend trap wealthy wife Yolande Cowles Baird see Hawk pose fall love
1916,Lonesome Luke Leans to the Literary,American,Hal Roach,"Harold Lloyd, Bebe Daniels",short comedy,https://en.wikipedia.org/wiki/Lonesome_Luke_Leans_to_the_Literary,Lonesome Luke (Harold Lloyd) tries to sell books to a businessman and his wife.,lonesome Luke Harold Lloyd try sell book businessman wife
1916,Madame X,American,George F. Marion,"Dorothy Donnelly, John Bowers",drama,https://en.wikipedia.org/wiki/Madame_X_(1916_film),"A woman is thrown out of her home by her jealous husband and sinks into depravity. Twenty years later, she finds herself accused of murder for saving her son, who does not know who she is. He finds himself defending her without knowing her background.",woman throw home jealous husband sink depravity year later find accuse murder save son know find defend know background
1916,The Man Who Would Not Die,American,"William Russell, Jack Prescott","Charlotte Burton, Harry Keenan",unknown,https://en.wikipedia.org/wiki/The_Man_Who_Would_Not_Die,"A wealthy young woman, Agnes (played by Burton), is loved by the identical twin brothers Clyde and Ward Kingsley (dual role played by Russell). She marries Clyde and he immediately begins squandering her fortune. When the money is almost gone, Clyde comes up with a plan to collect on his life insurance policy. As his brother, Ward, who still loves Agnes, is terminally ill, he persuades him to take his place so the insurance company will believe that Clyde has died instead of Ward.
Agnes learns of the plan and is angry. She nurses Ward back to health and falls in love with him during his convalescence. Clyde then hires Steve Mercer (played by Keenan) and Beth Taylor (played by Hutton) to murder his brother. He gets impatient, however, and shoots Ward himself.
When Clyde goes to tell Steve and Beth that their help is no longer needed, they mistake him for Ward and murder him. Ward recovers once again and he and Agnes are married.","wealthy young woman Agnes play Burton love identical twin brother Clyde Ward Kingsley dual role play Russell marry Clyde immediately begin squander fortune money go Clyde come plan collect life insurance policy brother Ward love Agnes terminally ill persuade place insurance company believe Clyde die instead Ward 
 Agnes learn plan angry nurse Ward health fall love convalescence Clyde hire Steve Mercer play Keenan Beth Taylor play Hutton murder brother get impatient shoot Ward 
 Clyde go tell Steve Beth help longer need mistake Ward murder Ward recover Agnes married"
